Plot_ID,Burn_status,Fire_ID,Fire_Name,Field_Date,Aspect,Slope_%,UTM_Zone,UTM_E,UTM_N,LFH_cov,Moss_cov,Soil_Rock_cov,Fuelbed_cov,CBI_A,herb_cov,shrub_cov,tree_cov,CBI_B,CBI_C,CBI_D,CBI_US,CBI_Over,CBI_tot,DOB_average,CWD_Pattern,broadcast_burned,disc_trenched,mounded,brushed,spaced,Lv_Pli_BA,Dd_Pli_BA,Lv_Sx_BA,Dd_Sx_BA,Lv_Bl_BA,Dd_Bl_BA,Lv_At_BA,Dd_At_BA,Lv_Ac_BA,Dd_Ac_BA,Lv_W_BA,Dd_W_BA,Lv_oth_BA,Dd_oth_BA,Prism_BA,CanopyBaseHt,PCQ_density
SL19,unburned,R11498,Shovel,2021-08-30,168,10,10,377004,6003345,40,50,2,2,0,75,20,55,0,0,0,0,0,0,0,sparse,0,1,0,0,0,29,0,4,0,0,0,0,0,0,0,0,0,0,0,66,4.17,3522
SL20,burned,R11498,Shovel,2021-08-30,130,12,10,377017,6003391,40,50,2,2,2.625,75,20,55,2.75,2.375,2.25,2.583333333,2.25,2.416666667,7.8,sparse,0,1,0,0,0,0,37,0,5,0,0,0,0,0,0,0,0,0,0,84,6.88,4070
SL21,burned,R11498,Shovel,2021-08-30,208,7,10,378362,6005220,15,60,0,15,2.25,80,50,55,2.75,2,1.833333333,2.333333333,1.833333333,2.027777778,3.9,large,0,1,0,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,72,5.8,8080
SL22,unburned,R11498,Shovel,2021-08-30,240,5,10,378594,6005288,15,60,0,15,0,80,50,55,0,0,0,0,0,0,0,large,0,0,0,0,0,57,0,2,0,0,0,0,0,0,0,0,0,0,0,118,7.39,4474
SL23,unburnedd,R11498,Shovel,2021-08-30,240,1,10,382030,6014768,20,65,1,2,0,45,10,55,0,0,0,0,0,0,0,sparse,0,1,0,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,66,7.01,4018
SL24,burned,R11498,Shovel,2021-08-30,225,3,10,382012,6014810,20,65,1,2,2.25,45,10,55,2.625,2,1.166666667,2.291666667,1.166666667,1.805555556,9.2,sparse,0,1,0,1,1,27,2,0,0,0,0,0,0,0,0,0,0,0,0,58,4.53,3139
SL25,unburned,R11498,Shovel,2021-08-30,318,14,10,382934,6015825,50,30,1,12,0,20,55,55,0,0,0,0,0,0,0,sparse,0,1,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,62,6.49,2362
SL26,burned,R11498,Shovel,2021-08-30,306,15,10,383095,6015972,50,30,1,12,2.75,20,55,55,2.75,2.125,2.166666667,2.541666667,2.166666667,2.347222222,10.8,few,0,0,0,1,0,0,26,0,6,0,4,0,0,0,0,0,0,0,0,72,3.88,2451
SL27,unburned,R11498,Shovel,2021-08-30,294,9,10,393546,6004729,15,25,1,15,0,75,65,40,0,0,0,0,0,0,0,few,1,0,0,0,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,56,3.86,886
SL28,burned,R11498,Shovel,2021-08-30,222,7,10,393680,6004656,15,25,1,15,2.75,75,65,40,2.75,2,2.166666667,2.5,2.166666667,2.305555556,3.5,few,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,38,4.86,2914
NL01,burned,R21721,Nadina,2021-08-23,131,3,9,662904,5981052,25,30,0,3,2.875,75,35,60,3,2.25,2.583333333,2.708333333,2.583333333,2.569444444,20,sparse,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,116,5.1,
NL02,unburned,R21721,Nadina,2021-08-23,112,5,9,663068,5980852,25,30,0,3,0,75,35,60,0,0,0,0,0,0,0,sparse,1,0,0,0,0,25,2,6,0,0,0,0,0,0,0,0,0,0,0,66,3.91,2481
NL03,unburned,R21721,Nadina,2021-08-23,305,10,9,665307,5979866,45,20,1,5,0,35,5,45,0,0,0,0,0,0,0,large,1,0,0,0,0,25,0,10,0,0,0,0,0,0,0,0,0,0,0,70,2.98,5176
NL04,burned,R21721,Nadina,2021-08-23,279,6,9,668296,5981127,25,20,5,2,2.625,80,3,45,2.875,1.875,2.25,2.458333333,2.25,2.25,8.2,sparse,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,24,1.33,1754
NL05,unburned,R21721,Nadina,2021-08-23,296,7,9,668405,5981124,25,20,5,2,0.625,80,3,45,0.75,0,0.75,0.458333333,0.75,0.458333333,1.5,few,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2.12,2898
NL06,unburned,R21721,Nadina,2021-08-23,302,9,9,668051,5980826,25,35,0,1,0,50,3,65,0,0,0,0,0,0,0,,1,0,0,0,0,28,0,4,0,2,0,2,2,0,0,0,0,0,0,76,5.46,3564
NL07,burned,R21721,Nadina,2021-08-23,215,8,9,605168,5981216,15,15,1,1,3,65,3,45,2.625,2.75,2.166666667,2.791666667,2.166666667,2.638888889,11.9,sparse,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,30,3.19,793
NL08,unburned,R21721,Nadina,2021-08-23,328,9,9,666331,5980534,25,30,1,1,0,85,15,60,0,0,0,0,0,0,0,sparse,1,0,0,0,0,43,0,3,0,0,0,0,0,0,0,0,0,0,0,92,5.52,2829
NL09,burned,R21721,Nadina,2021-08-23,130,2,9,668267,5978554,15,15,5,2,2.875,70,3,45,2.5,1.625,2.333333333,2.333333333,2.333333333,2.277777778,4.8,sparse,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,52,3.16,2922
NL10,unburned,R21721,Nadina,2021-08-23,342,13,9,669957,5974426,30,20,1,12,0,65,8,65,0,0,0,0,0,0,0,large,0,0,0,0,0,45,2,0,0,2,0,0,0,0,0,0,0,0,0,98,5.63,2380
NL11,unburned,R21721,Nadina,2021-08-23,280,3,9,667164,5972473,80,20,0.5,20,0,5,2,60,0,0,0,0,0,0,0,sparse,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,118,7.46,5289
NL12,burned,R21721,Nadina,2021-08-24,17,8,9,652545,5983194,20,15,1,7,2.375,70,5,55,3,2.125,2.083333333,2.5,2.083333333,2.194444444,8.8,sparse,0,0,0,0,0,0,0,0,28,0,2,0,0,0,0,0,0,0,0,60,3.16,6400
NL13,unburned,R21721,Nadina,2021-08-24,310,3,9,649931,5983519,35,15,2,4,0,65,4,57,0,0,0,0,0,0,0,few,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5.84,2114
NL14,burned,R21721,Nadina,2021-08-24,112,21,9,643792,5980893,20,15,5,5,1.625,60,5,35,1.875,2.125,1.75,1.875,1.75,1.833333333,9.2,sparse,0,0,0,0,0,2,8,0,0,0,13,0,0,0,0,0,0,0,0,46,1.41,4244
NL15,burned,R21721,Nadina,2021-08-24,240,17,9,644205,5982332,35,20,5,1,2.375,60,1,60,2.5,1.875,1.916666667,2.25,1.916666667,2.055555556,6.9,sparse,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,54,4.4,3822
NL16,burned,R21721,Nadina,2021-08-24,137,16,9,642940,5981727,25,20,4,2,2.5,70,2,65,2.5,2.375,1.916666667,2.458333333,1.916666667,2.263888889,8.5,sparse,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,70,4.72,3931
NL17,unburned,R21721,Nadina,2021-08-24,111,11,9,638906,5981737,15,30,1,30,0.6,55,5,60,0.75,0.375,0.5,0.575,0.5,0.491666667,1.3,large,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,8,0,0,0,66,4.17,1659
NL18,burned,R21721,Nadina,2021-08-24,328,4,9,645074,5986957,20,5,20,1,2.5,50,60,40,2.75,1.875,1.833333333,2.375,1.833333333,2.069444444,6.4,sparse,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,36,2.76,5569
NL19,burned,R21721,Nadina,2021-08-24,167,12,9,645450,5987360,30,15,15,2,2.125,55,3,60,2.625,1.75,2,2.166666667,2,1.958333333,4.5,sparse,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,70,6.15,1502
NL20,burned,R21721,Nadina,2021-08-24,N/A,0,9,648403,5989823,15,10,15,10,1.875,70,10,45,2.75,2.125,2.083333333,2.25,2.083333333,2.027777778,7,sparse,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,44,3.7,1056
