"OPENING_ID","SITE_PREP_","SITEPr_1_Meth","SITE_PREP1","SITE_PRE_1","SITE_PRE_2","SITEPr_2_Meth","SITE_PRE_3","SITE_PRE_4","SITE_PRE_5","SITEPr_3_Type","SITEPr_3_Meth","SITEPr_3_Area","SITEPr_3_Date","SITEPr_4","SITEPr_4_Type","SITEPr_4_Meth","SITEPr_4_Area","SITEPr_4_Date","PLANTING_1","PLANTING_2","PLANTING_3","PLANT_1_SP1","PLANT_1_NUM2","PLANT_1_SP2","PLANT_1_NUM2","PLANTING_4","PLANTING_5","PLANTING_6","PLANT_2_SP1","PLANT_2_NUM1","PLANT_2_SP2","PLANT_2_NUM2","PLANTING_C","PLANT_3_Type","PLANT_3_Meth","PLANT_3_Area","PLANT_3_Date","PLANT_3_SP1","PLANT_3_NUM1","PLANT_3_SP2","PLANT_3_NUM2"
-583840000,"ME",NA,7.5,1988-09-01,"ME",NA,72,1983-10-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",74,1989-05-01,NA,NA,NA,NA,"PL",7,1989-05-01,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-583820000,"ME",NA,34,1983-09-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",5,1985-06-01,NA,NA,NA,NA,"PL",57,1984-05-01,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-583810000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",40,1984-05-01,NA,NA,NA,NA,"PL",6,1985-06-01,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-583800000,"ME",NA,62,1983-10-01,"ME",NA,25.5,1988-10-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",29,1989-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583790000,"ME",NA,81,1983-08-01,"ME",NA,14,1988-10-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",14,1989-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583780000,"ME",NA,54,1982-09-01,"ME",NA,1.5,1988-10-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",9,1989-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583760000,"ME",NA,14,1982-09-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",40,1985-06-01,NA,NA,NA,NA,"PL",10,1989-05-01,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-583720000,"BU",NA,10,1970-01-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",7,1988-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583690000,"BU",NA,22,1968-01-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",17,1971-01-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583660000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",9,1971-01-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-583610000,"ME",NA,11,1983-10-01,"ME",NA,40,1981-01-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",6,1985-06-01,NA,NA,NA,NA,"FP",4.3,1996-06-15,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
-583600000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-583590000,"MA",NA,14,1970-01-01,"BU",NA,12,1970-01-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-583580000,"BU",NA,11,1974-01-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-570260000,"GS",NA,14.9,1994-05-15,"ME",NA,14.4,1994-10-05,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",14,1995-05-18,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-570250000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",0.7,1992-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-570240000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",5,2009-07-15,NA,NA,NA,NA,"PL",5,1992-05-01,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-570230000,"GS",NA,23.7,1995-05-15,"ME",NA,25,1992-11-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",25,1993-06-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
