OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2,PLANT_4_Type,PLANT_4_Meth,PLANT_4_Area,PLANT_4_Date,PLANT_4_SP1,PLANT_4_NUM1,PLANT_4_SP2,PLANT_4_NUM2
95275,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,RP,1,2016-05-03,SX,800,NA,NA,,,PL,1,2002-07-01,FDI,15,PLI,1054,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
95278,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
97551,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,RP,5.6,2004-05-01,PLI,5810,PLI,645,,,PL,5.6,2003-05-01,FDI,3260,PLI,2570,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
97690,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,1.7,2003-07-01,PLI,2450,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
97704,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,7.3,2003-07-01,PLI,5100,SX,1560,PLI,690,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
97716,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,2,2003-07-01,SX,1530,PLI,1080,,,RP,2,2009-05-13,SX,2130,NA,NA,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
99301,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,3,2002-05-21,PLI,3290,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
99303,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,4.7,2002-05-01,PLI,6835,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
99305,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
99307,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,1.6,2003-05-01,PLI,615,SX,300,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
